SKU,Product Name,Category,Color / Finish,Material,Price,Photo,Shot Idea,Notes
HG-035,Bath Towel,Bath,Ochre,Organic cotton,$34,https://take-home-service.lumalabs-ext.workers.dev/assets/fde/hg-035.jpg,,
HG-036,Bath Tray,Bath,Charcoal,Stoneware,$30,https://take-home-service.lumalabs-ext.workers.dev/assets/fde/hg-036.jpg,,
HG-037,Storage Jar w/ Lid,Bath,Cream Wood,Stoneware + oak,$28,https://take-home-service.lumalabs-ext.workers.dev/assets/fde/hg-037.jpg,,
HG-038,Hand Towel,Bath,Clay Pink,Organic cotton,$18,https://take-home-service.lumalabs-ext.workers.dev/assets/fde/hg-038.jpg,,
HG-040,Soap Dish,Bath,Terracotta,Stoneware,$14,https://take-home-service.lumalabs-ext.workers.dev/assets/fde/hg-040.jpg,,
HG-041,Ribbed Tumbler Set (4),Glassware,Smoke,Recycled glass,$38,https://take-home-service.lumalabs-ext.workers.dev/assets/fde/hg-041.jpg,iced drinks on a patio table,"El: smoke glass photographs badly, careful"
HG-042,Carafe,Glassware,Amber,Recycled glass,$44,https://take-home-service.lumalabs-ext.workers.dev/assets/fde/hg-042.jpg,holiday dinner table,
HG-043,Bud Vase,Glassware,Dusty Blue,Recycled glass,$22,https://take-home-service.lumalabs-ext.workers.dev/assets/fde/hg-043.jpg,,photo slightly underexposed?
HG-044,Wine Glass Set (4),Glassware,Sage Stem,Recycled glass,$48,https://take-home-service.lumalabs-ext.workers.dev/assets/fde/hg-044.jpg,candlelit holiday table,holiday table story?
HG-045,Glass Storage Jar,Glassware,Green Tint,Recycled glass,$24,https://take-home-service.lumalabs-ext.workers.dev/assets/fde/hg-045.jpg,,
